Kecamatan,Kelurahan,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
Sidorejo,Blotongan,0,1,4,7,8
Sidorejo,Bugel,1,1,6,8,9
Argomulyo,Cebongan,5,8,12,15,15
Sidomukti,Dukuh,3,5,5,8,8
Tingkir,Gendongan,5,7,11,12,12
Tingkir,Kalibening,1,1,4,6,8
Sidomukti,Kalicacing,4,7,15,18,18
Sidorejo,Kauman Kidul,0,1,3,5,6
Sidomukti,Kecandran,5,5,14,14,14
Argomulyo,Kumpulrejo,3,6,7,8,9
Tingkir,Kutowinangun Kidul,5,7,11,13,14
Tingkir,Kutowinangun Lor,3,3,7,9,10
Argomulyo,Ledok,3,5,8,9,10
Sidomukti,Mangunsari,4,7,16,17,17
Argomulyo,Noborejo,1,1,6,7,7
Sidorejo,Pulutan,4,5,12,15,15
Argomulyo,Randuacir,1,4,12,13,15
Sidorejo,Salatiga,7,7,10,10,10
Tingkir,Sidorejo Kidul,5,6,15,18,20
Sidorejo,Sidorejo Lor,1,1,2,3,5
Argomulyo,Tegalrejo,6,8,15,16,17
Tingkir,Tingkir Lor,0,2,11,11,13
Tingkir,Tingkir Tengah,0,0,7,8,10
