Kecamatan,Kelurahan,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
Sidorejo,Blotongan,0,0,0,0,0
Sidorejo,Bugel,0,0,0,0,0
Argomulyo,Cebongan,0,0,0,0,0
Sidomukti,Dukuh,0,0,0,0,0
Tingkir,Gendongan,0,0,0,0,0
Tingkir,Kalibening,0,0,0,0,0
Sidomukti,Kalicacing,0,0,0,0,0
Sidorejo,Kauman Kidul,0,0,0,0,0
Sidomukti,Kecandran,0,0,0,0,0
Argomulyo,Kumpulrejo,0,0,0,0,0
Tingkir,Kutowinangun Kidul,0,0,0,0,0
Tingkir,Kutowinangun Lor,0,0,0,0,0
Argomulyo,Ledok,0,0,0,0,0
Sidomukti,Mangunsari,0,0,0,0,0
Argomulyo,Noborejo,0,0,0,0,0
Sidorejo,Pulutan,0,0,0,0,0
Argomulyo,Randuacir,0,0,0,0,0
Sidorejo,Salatiga,0,0,0,0,0
Tingkir,Sidorejo Kidul,0,0,0,0,0
Sidorejo,Sidorejo Lor,0,0,0,0,0
Argomulyo,Tegalrejo,0,0,0,0,0
Tingkir,Tingkir Lor,0,0,0,0,0
Tingkir,Tingkir Tengah,0,0,0,0,0
