Kecamatan,Kelurahan,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020
Sidorejo,Blotongan,0,0,1,2,3
Sidorejo,Bugel,0,1,2,3,4
Argomulyo,Cebongan,1,1,1,1,2
Sidomukti,Dukuh,0,1,2,3,4
Tingkir,Gendongan,1,1,1,2,3
Tingkir,Kalibening,0,1,1,2,2
Sidomukti,Kalicacing,1,1,1,2,2
Sidorejo,Kauman Kidul,1,1,2,2,3
Sidomukti,Kecandran,0,1,2,2,2
Argomulyo,Kumpulrejo,0,1,2,3,4
Tingkir,Kutowinangun Kidul,1,2,3,3,4
Tingkir,Kutowinangun Lor,1,2,3,3,3
Argomulyo,Ledok,1,2,2,3,4
Sidomukti,Mangunsari,1,2,2,3,4
Argomulyo,Noborejo,1,2,3,3,4
Sidorejo,Pulutan,1,1,2,3,3
Argomulyo,Randuacir,0,0,1,1,2
Sidorejo,Salatiga,0,0,0,0,1
Tingkir,Sidorejo Kidul,1,2,2,3,4
Sidorejo,Sidorejo Lor,1,2,3,4,4
Argomulyo,Tegalrejo,0,1,2,2,2
Tingkir,Tingkir Lor,1,2,3,3,3
Tingkir,Tingkir Tengah,0,1,1,1,1
